id,name,desc,type,domain,vega,cq
103,com.juanpi.spi.order.service.OrderManagerService#querySyncGoods,,order,order,0,
104,com.juanpi.spi.order.service.OrderManagerService#searchMainOrder,,order,order,0,
105,com.juanpi.spi.order.service.OrderManagerService#searchMainOrderNo,,order,order,0,
106,com.juanpi.spi.order.service.OrderManagerService#countOrdersByUid,根据uid查询列表,order,order,0,
107,com.juanpi.spi.order.service.OrderManagerService#searchOrdersByUid,,order,order,0,
108,com.juanpi.spi.order.service.OrderManagerService#countOrdersBySellerId,根据买家id查询列表,order,order,0,
109,com.juanpi.spi.order.service.OrderManagerService#searchOrdersBySellerId,,order,order,0,
110,com.juanpi.spi.order.service.OrderManagerService#searchOrderEvent,,order,order,0,
111,com.juanpi.spi.order.service.OrderManagerService#openVipCard,会员卡发卡,order,order,0,
112,com.juanpi.spi.order.service.OrderQueryGateWay#query,,order,order,0,
113,com.juanpi.spi.order.service.OrderQueryService#queryOrder,查询订单详情,order,order,0,
114,com.juanpi.spi.order.service.OrderQueryService#queryOrderGoodsQuantity,查询指定订单的商品的数量,order,order,0,
115,com.juanpi.spi.order.service.OrderQueryService#queryOrderGoodsList,查询指定订单的商品的列表,order,order,0,
116,com.juanpi.spi.order.service.OrderQueryService#setSuspicious,设置可疑订单,order,order,0,
117,com.juanpi.spi.order.service.OrderQueryService#updateExpressInfo,更新快递信息,order,order,0,
118,com.juanpi.spi.order.service.OrderQueryService#queryOderInfoByDeliveryCode,通过快递单号查询订单,order,order,0,
119,com.juanpi.spi.order.service.OrderQueryService#queryUserGoodsQuantity,统计用户购买的商品数量,order,order,0,
120,com.juanpi.spi.order.service.OrderQueryService#querySellerQuantity,统计商家的订单数量,order,order,0,
121,com.juanpi.spi.order.service.OrderQueryService#querySellerValidOrderQuantity,统计商家有效订单的数量,order,order,0,
122,com.juanpi.spi.order.service.OrderQueryService#queryUserLatestOrderId,获取用户最近成功支付的一笔订单,order,order,0,
123,com.juanpi.spi.order.service.OrderQueryService#updateExpressStatus,更新快递状态&时间,order,order,0,
124,com.juanpi.spi.order.service.OrderQueryService#updateOrderStatusByOrderNo,根据订单号修改订单状态,order,order,0,
125,com.juanpi.spi.order.service.OrderQueryService#countOrderByStatus,通过状态返回订单总数,order,order,0,
126,com.juanpi.spi.order.service.OrderQueryService#queryOrderInfoByNo,通过订单号码查询订单的收货人地址,order,order,0,
127,com.juanpi.spi.order.service.OrderQueryService#queryOrderPayNoByTradeNo,通过平台交易号查询支付号,order,order,0,
128,com.juanpi.spi.order.service.OrderQueryService#getOrderNoByPayNo,根据支付单号获取订单号,order,order,0,
129,com.juanpi.spi.order.service.OrderQueryService#queryOrderInfoByNoAndUid,查询订单地址信息,order,order,0,
130,com.juanpi.spi.order.service.OrderQueryService#updateOrderRefundStatusByOrderNo,(批量)根据订单号修改异常退款状态,order,order,0,
131,com.juanpi.spi.order.service.OrderQueryService#updatePintuanOrderStatus2Normal4Delivery,试用抽奖拼团订单状态变更为正常生产订单,order,order,0,
132,com.juanpi.spi.order.service.OrderQueryService#updateOrderStatusToSuspiction,待审核订单转可疑,order,order,0,
133,com.juanpi.spi.order.service.OrderQueryService#updateOrderRefundStatusById,(批量)根据id更新异常退款表,order,order,0,
134,com.juanpi.spi.order.service.OrderQueryService#addOrderRefund,添加异常退款,order,order,0,
135,com.juanpi.spi.order.service.OrderQueryService#queryRelatedOrderInner,查询关联订单,order,order,0,
136,com.juanpi.spi.order.service.OrderQueryService#queryResellerIdByOrderNo,根据订单号查询分销商id,order,order,0,
137,com.juanpi.spi.order.service.OrderQueryService#queryResellOrderList,分页查询分销订单列表,order,order,0,
138,com.juanpi.spi.order.service.OrderQueryService#updateInterOrderStatusWhenCancel,卷皮国际取消订单,order,order,0,
139,com.juanpi.spi.order.service.OrderQueryService#updateOrderPayTimeAndPayType,修复订单号问题,order,order,0,
